peptide_name,variant_mg,price,kit_summary,url
Tirzepatide,10mg,$185,10mg - 10 vials,https://kaoslabs.eu/products/tirzepatide
Tirzepatide,15mg,$215,15mg - 10 vials,https://kaoslabs.eu/products/tirzepatide
Tirzepatide,20mg,$255,20mg - 10 vials,https://kaoslabs.eu/products/tirzepatide
Tirzepatide,30mg,$300,30mg - 10 vials,https://kaoslabs.eu/products/tirzepatide
Tirzepatide,40mg,$329,40mg - 10 vials,https://kaoslabs.eu/products/tirzepatide
Tirzepatide,60mg,$380,60mg - 10 vials,https://kaoslabs.eu/products/tirzepatide
Tirzepatide,70mg,$415,70mg - 10 vials,https://kaoslabs.eu/products/tirzepatide
Tirzepatide,120mg,$525,120mg - 10 vials,https://kaoslabs.eu/products/tirzepatide
Thymosin Alpha-1,5mg,$230,5mg - 10 vials,https://kaoslabs.eu/products/thymosin-alpha-1
Tesamorelin,5mg,$230,5mg - 10 vials,https://kaoslabs.eu/products/tesamorelin
Tesamorelin,10mg,$290,10mg - 10 vials,https://kaoslabs.eu/products/tesamorelin
TB500,10mg,$255,10mg - 10 vials,https://kaoslabs.eu/products/tb500
SS-31,10mg,$210,10mg - 10 vials,https://kaoslabs.eu/products/ss-31
SS-31,50mg,$415,50mg - 10 vials,https://kaoslabs.eu/products/ss-31
SNAP-8,10mg,$185,10mg - 10 vials,https://kaoslabs.eu/products/snap-8
SLU-PP-332,5mg,$220,5mg - 10 vials,https://kaoslabs.eu/products/slu-pp-332
Sermorelin,5mg,$210,5mg - 10 vials,https://kaoslabs.eu/products/sermorelin
Sermorelin,10mg,$280,10mg - 10 vials,https://kaoslabs.eu/products/sermorelin
Semax,10mg,$180,10mg - 10 vials,https://kaoslabs.eu/products/semax
Semaglutide,10mg,$160,10mg - 10 vials,https://kaoslabs.eu/products/semaglutide
Semaglutide,15mg,$185,15mg - 10 vials,https://kaoslabs.eu/products/semaglutide
Semaglutide,20mg,$210,20mg - 10 vials,https://kaoslabs.eu/products/semaglutide
Semaglutide,30mg,$240,30mg - 10 vials,https://kaoslabs.eu/products/semaglutide
Selank,10mg,$210,10mg - 10 vials,https://kaoslabs.eu/products/selank
Retatrutide,5mg,$190,5mg - 10 vials,https://kaoslabs.eu/products/retatrutide
Retatrutide,10mg,$215,10mg - 10 vials,https://kaoslabs.eu/products/retatrutide
Retatrutide,20mg,$295,20mg - 10 vials,https://kaoslabs.eu/products/retatrutide
Retatrutide,30mg,$315,30mg - 10 vials,https://kaoslabs.eu/products/retatrutide
Retatrutide,50mg,$475,50mg - 10 vials,https://kaoslabs.eu/products/retatrutide
Retatrutide,60mg,$555,60mg - 10 vials,https://kaoslabs.eu/products/retatrutide
Retatrutide,100mg,$995,100mg - 10 vials,https://kaoslabs.eu/products/retatrutide
PT-141,10mg,$190,10mg - 10 vials,https://kaoslabs.eu/products/pt-141
