product_name,variant_mg,kit_price_usd,kit_quantity,notes
NAD+ (Nicotinamide Adenine Dinucleotide),500mg,$75,10 vials,
NAD+ (Nicotinamide Adenine Dinucleotide),1000mg,$140,10 vials,
GHK-Cu (Copper Peptide),50mg,$39,10 vials,
GHK-Cu (Copper Peptide),100mg,$60,10 vials,
Epitalon,10mg,$65,10 vials,
Semax,5mg,$55,10 vials,
Semax,10mg,$75,10 vials,
Selank,10mg,$75,10 vials,
SS-31 (Elamipretide),10mg,$90,10 vials,
SNAP-8,10mg,$60,10 vials,
Retatrutide,10mg,$110,10 vials,
Retatrutide,15mg,$155,10 vials,
Retatrutide,20mg,$200,10 vials,
Retatrutide,30mg,$230,10 vials,
Retatrutide,60mg,$325,10 vials,
BPC-157,10mg,$70,10 vials,
BAC Water (Bacteriostatic Water),3ml,$10,10 vials,
BAC Water (Bacteriostatic Water),10ml,$15,10 vials,
Ipamorelin,10mg,$80,10 vials,
5-Amino-1MQ,50mg,$125,10 vials,
CJC-1295 (Without DAC) + Ipamorelin,10mg,$100,10 vials,
CJC-1295 (Without DAC) + Ipamorelin,20mg,$200,10 vials,
CJC-1295 (Without DAC),10mg,$149,10 vials,
Glow,50mg,$135,10 vials,
MOTS-C,5mg,$59,10 vials,
MOTS-C,10mg,$70,10 vials,
Tesamorelin,5mg,$99,10 vials,
TB-500,5mg,$69,10 vials,
Glutathione,600mg,$80,10 vials,
Tirzepatide,10mg,$75,10 vials,
Tirzepatide,15mg,$95,10 vials,
Tirzepatide,20mg,$110,10 vials,
Tirzepatide,30mg,$135,10 vials,
Tirzepatide,60mg,$195,10 vials,
BPC-157 / TB-500 Blend,10mg,$100,10 vials,
BPC-157 / TB-500 Blend,20mg,$165,10 vials,
